gene_89_45_54_52_94_0_76_59_53_17_83_65_34_51_1_79_5_81_5_4_61_7_89_58_57_88_60_16_5_64_93_45_51,14,0.144737,353.582
gene_96_50_61_9_65_0_60_0_13_83_7_18_5_89_44_94_29_78_88_2_60_93_37_41_55_88_41_66_91_43_81_54_34,24,0.124001,327.612
gene_92_69_89_12_65_36_54_38_53_1_57_10_5_33_3_56_52_96_61_0_76_11_70_36_85_73_79_23_29_91_94_73_84,23,0.121489,319.852
gene_97_44_86_16_65_1_78_8_71_37_48_79_7_35_11_98_64_43_37_8_75_51_17_47_31_29_60_68_3_84_92_89_1,17,0.12563,316.788
gene_86_19_69_61_71_40_73_98_50_43_36_25_7_1_10_89_97_27_94_42_0_42_6_59_0_62_87_86_59_6_77_10_33,19,0.113848,316.351
gene_96_50_85_42_91_8_83_18_13_1_10_20_11_89_44_79_29_78_88_2_76_4_37_46_92_10_58_41_13_54_81_38_10,13,0.106426,315.847
gene_91_65_92_49_91_8_85_9_37_24_10_20_21_38_4_92_29_31_30_13_60_15_37_47_29_10_60_11_15_54_95_15_3,17,0.125846,315.115
gene_100_85_42_12_99_74_78_96_38_24_96_18_14_1_5_79_13_95_56_38_75_71_42_53_28_65_63_75_91_89_77_78_24,16,0.12248,308.835
gene_97_76_92_11_63_74_71_30_15_17_48_79_2_50_10_89_64_6_91_7_3_42_63_31_48_7_60_0_99_66_77_5_5,15,0.117088,304.039
gene_27_99_88_42_91_8_82_19_41_61_83_19_11_47_73_94_60_27_35_0_75_37_8_54_7_9_39_89_85_6_59_5_52,12,0.115492,301.997
gene_35_19_66_100_94_40_71_41_50_80_7_14_7_21_5_53_97_30_94_0_18_42_78_35_28_62_58_1_59_25_77_84_70,17,0.116448,297.454
gene_35_94_62_11_76_71_82_96_65_96_89_19_11_99_10_90_0_77_73_2_60_37_77_35_28_23_71_86_91_69_77_84_35,25,0.124221,295.572
gene_8_89_96_13_69_99_98_95_35_95_55_19_11_35_1_18_9_37_35_36_75_3_90_93_90_73_60_50_87_91_91_10_35,20,0.112681,287.467
gene_32_93_89_54_65_74_85_95_6_75_35_19_18_49_1_66_17_73_0_48_60_54_84_57_87_11_16_77_86_66_60_49_38,15,0.118001,286.792
gene_86_93_88_61_65_74_71_24_43_21_40_25_21_87_3_66_14_27_35_86_9_37_39_42_87_24_12_86_94_65_91_36_1,15,0.121696,280.59
gene_96_50_54_16_96_1_61_50_17_3_32_18_4_89_61_98_97_43_66_73_75_61_35_46_40_29_58_68_3_21_77_54_1,25,0.113447,275.327
gene_100_96_86_9_65_83_85_60_13_75_4_26_12_21_51_21_63_46_88_14_53_86_35_46_99_19_58_82_91_11_93_46_24,16,0.106071,270.18
gene_37_97_94_16_65_74_83_0_71_24_1_18_31_71_5_89_48_27_66_0_45_85_25_58_28_75_25_72_95_100_39_17_33,22,0.118596,270.119
gene_86_94_30_18_94_0_71_100_39_17_55_14_9_70_6_66_73_99_35_10_58_8_39_46_14_75_16_75_90_14_78_17_30,28,0.105591,266.612
gene_14_95_66_11_94_10_85_62_68_66_52_14_7_36_7_93_99_51_88_12_60_7_35_88_10_77_42_92_91_84_77_89_46,22,0.106862,266.044
gene_10_93_66_38_90_8_85_28_63_89_10_28_28_50_0_93_52_90_82_11_76_15_7_92_92_27_69_69_61_29_81_22_5,20,0.115347,265.834
gene_92_78_84_17_94_83_56_95_35_76_4_23_32_21_1_21_100_27_1_4_34_86_37_46_72_14_60_86_10_49_93_46_51,26,0.112772,264.614
gene_86_94_88_44_94_16_73_98_37_1_57_25_23_1_1_96_55_27_35_12_9_37_41_44_14_24_12_86_47_6_57_17_33,21,0.107845,264.541
gene_26_46_82_16_65_40_0_13_66_23_2_9_15_74_50_69_48_81_91_0_75_68_77_53_10_12_78_75_94_100_77_47_33,24,0.112371,264.486
gene_41_50_85_47_64_77_60_13_63_100_4_92_11_89_4_93_83_78_65_0_16_15_37_42_26_77_60_41_3_20_77_38_37,24,0.102272,260.14
gene_10_94_88_38_94_74_82_98_37_58_7_25_21_47_1_86_60_27_35_16_9_37_78_43_0_16_58_86_5_6_100_40_70,19,0.111058,260.05
gene_19_97_94_16_94_23_76_28_2_24_32_9_21_71_37_94_55_55_66_51_9_5_38_48_53_23_66_75_91_73_98_36_30,24,0.133392,258.147
gene_86_16_95_6_80_0_5_60_47_24_59_22_11_100_0_89_29_71_1_8_60_5_90_57_97_94_78_50_94_16_78_25_33,22,0.0962212,257.871
